"Comunidad" "Viajes" "Pernoctaciones" "Gasto_total"
"Andalucia" 9438764 53388710 2479.4
"Aragon" 2146013 13694286 633.8
"Asturias" 1330060 7927159 408.6
"Illes Balears" 878690 4919180 313.5
"Canarias" 2295291 11136702 773.8
"Cantabria" 576134 2763920 162.6
"Castilla y Leon" 3257439 17305064 895.8
"Castilla-La Mancha" 2702369 13023757 718.9
"Cataluña" 10077851 65964560 3739.4
"Comunitat Valenciana" 5382263 32488194 1535.5
"Extremadura" 1115523 6147432 320.6
"Galicia" 2896244 12599913 671.0
"Madrid" 12688902 94403137 4693.0
"Murcia" 1650059 10830679 437.1
"Navarra" 866699 5347333 287.5
"Pais Vasco" 3238724 23452396 1031.5
"La Rioja" 416848 2396433 142.7
"Ceuta" 100952 615798 30.4
"Melilla" 57646 483940 21.7
